time,Unnamed: 0_A,open_A,low_A,high_A,close_A,tick_volume_A,spread_A,real_volume_A,ticker_A,timeframe_A,Unnamed: 0_B,open_B,low_B,high_B,close_B,tick_volume_B,spread_B,real_volume_B,ticker_B,timeframe_B,A,B,dif,means,stddev,z,signal
2015-12-16,1721,43.5,42.67,43.74,43.74,11258,1,4300720,BOVA11,D1,152,45480.0,44735.0,46330.0,46300.0,176223,5,404513,WIN$N,D1,0.0055172413793103114,0.031869846222420284,-0.026352604843109972,-0.0012299426691143034,0.0072836732506530635,-3.449174792642317,1
2016-06-15,1841,47.3,46.71,47.91,47.4,23208,1,3258330,BOVA11,D1,272,49800.0,49140.0,50450.0,49750.0,230781,5,588401,WIN$N,D1,0.006369426751592355,0.026090543467051752,-0.019721116715459397,-0.0004358301689583011,0.005908051323393801,-3.2642381541504486,1
2016-08-17,1886,56.97,56.31,57.49,57.49,11000,1,3746440,BOVA11,D1,317,59560.0,59120.0,60610.0,60610.0,236404,5,640543,WIN$N,D1,0.008950508950509084,0.03430034129692827,-0.025349832346419188,-0.0008176753943706427,0.006488914625338969,-3.7806256313269073,1
2016-10-13,1925,58.91,58.39,59.47,59.3,11391,1,2960760,BOVA11,D1,356,61800.0,61455.0,62615.0,62380.0,229545,5,684375,WIN$N,D1,0.004573945451465278,0.022539136136382254,-0.017965190684916976,-0.0003957440843160798,0.005311547477111734,-3.307783028639077,1
2016-12-08,1963,59.72,58.53,60.1,59.81,10719,1,1933340,BOVA11,D1,394,61900.0,60550.0,62200.0,60700.0,323007,5,938044,WIN$N,D1,0.004872311827956999,-0.014290354011042505,0.019162665838999504,0.0014045132361933722,0.00488539133203114,3.6349498731809966,-1
2017-02-15,2010,65.01,64.93,65.91,65.85,19680,1,4242880,BOVA11,D1,441,68200.0,68120.0,69180.0,69055.0,235694,5,808141,WIN$N,D1,0.012298232129131392,0.0336027540787307,-0.02130452194959931,-0.00038305620906488037,0.005490762780467042,-3.8103022434261598,1
2017-04-12,2048,62.06,61.68,62.34,61.68,20822,1,2857860,BOVA11,D1,479,65205.0,64765.0,65475.0,64910.0,279218,5,997972,WIN$N,D1,-0.01185517462351815,0.003711148909850026,-0.015566323533368176,-0.00046339917995804616,0.00456795550303226,-3.3062765920956627,1
2017-12-06,2209,69.74,69.46,72.98,72.98,12896,1,4478310,BOVA11,D1,640,72180.0,71940.0,73575.0,73480.0,739111,5,2642473,WIN$N,D1,0.042571428571428704,0.013517241379310319,0.029054187192118386,0.0017660083100308143,0.006850163886078791,3.983580442147352,-1
2018-02-05,2248,80.59,79.2,81.47,79.2,11767,1,2817520,BOVA11,D1,679,83770.0,81450.0,84470.0,81450.0,764563,5,2738113,WIN$N,D1,-0.025110782865583325,-0.03340651516050552,0.008295732294922198,0.0006311426927623931,0.0021176714464099782,3.6193478526394367,-1
2018-02-06,2249,77.62,77.62,81.3,81.15,17013,1,4423260,BOVA11,D1,680,81450.0,80530.0,84565.0,84340.0,1107001,5,3381811,WIN$N,D1,0.024621212121212155,0.03548189073050945,-0.010860678609297292,1.0654119083380875e-05,0.003314444604293029,-3.279986249973705,1
2019-02-13,2499,93.03,91.97,93.33,92.6,70406,1,6228610,BOVA11,D1,930,97295.0,96280.0,97765.0,96895.0,1573359,5,5688794,WIN$N,D1,0.0016224986479176362,0.009796258662915003,-0.008173760014997367,-0.00012858308701790833,0.002485361959544777,-3.2370242479501963,1
2019-12-18,2711,108.35,108.15,110.16,110.16,66968,1,5850810,BOVA11,D1,1142,113355.0,113010.0,114995.0,114980.0,1374394,5,6445153,WIN$N,D1,0.0161424222857669,0.021771971918599586,-0.005629549632832687,-0.00012951617989589992,0.0018170820594898406,-3.0268492411844967,1
2020-03-11,2765,85.99,77.4,87.1,82.06,249556,1,18987320,BOVA11,D1,1196,89600.0,80540.0,90680.0,80580.0,3928776,5,11249393,WIN$N,D1,-0.07412839896197665,-0.13004048582995953,0.05591208686798288,0.0025021798680626207,0.012962153502797278,4.120450123383758,-1
